dataset,aggregation,K,dim,H,auc,f1
music,sum,2,4,1,0.7540012805478599,0.6599872216956446
music,sum,2,4,2,0.7155447924452366,0.6485107781947554
music,sum,2,4,3,0.36240195683223925,0.3810222723840747
music,sum,2,4,4,0.5098957966334543,0.5023822672743528
music,sum,2,8,1,0.7361387261116115,0.6658195139886692
music,sum,2,8,2,0.6474324955580226,0.6037767250342051
music,sum,2,8,3,0.7732807483948296,0.7088663164351107
music,sum,2,8,4,0.6085892685498077,0.599498248995716
music,sum,2,16,1,0.7914125818205305,0.7071331162878574
music,sum,2,16,2,0.7868208641028049,0.7114047486281974
music,sum,2,16,3,0.7750539311844554,0.7049957128103688
music,sum,2,16,4,0.3865531541163734,0.42002424334868327
music,sum,2,32,1,0.790809626067485,0.714107996832624
music,sum,2,32,2,0.786390145997591,0.7039682843942495
music,sum,2,32,3,0.4113686048329001,0.42416145274976735
music,sum,2,32,4,0.36353052317421664,0.4116935617281863
music,sum,2,64,1,0.79329343928338,0.7195156456381562
music,sum,2,64,2,0.7924947468119787,0.7091157231259031
music,sum,2,64,3,0.3637287002861536,0.4011434432626788
music,sum,2,64,4,0.3751213122270067,0.40528448422731156
music,sum,2,128,1,0.7992705186878769,0.7188677331256533
music,sum,2,128,2,0.7768350434356138,0.6968009214217884
music,sum,2,128,3,0.36831228259185084,0.40078978157127493
music,sum,2,128,4,0.36483654180148756,0.4071027479763468
music,sum,4,4,1,0.7944566946966901,0.7013615832622992
music,sum,4,4,2,0.5856897295025535,0.5590788665048305
music,sum,4,4,3,0.5826700234586674,0.5668909568081026
music,sum,4,4,4,0.3747367347840115,0.4143167345882002
music,sum,4,8,1,0.8080881033954105,0.7233359298346725
music,sum,4,8,2,0.787627056032072,0.7178754027031217
music,sum,4,8,3,0.35976237231003133,0.4062601466779901
music,sum,4,8,4,0.4694753399903471,0.4759403917985913
music,sum,4,16,1,0.7951925352713555,0.7165519034432757
music,sum,4,16,2,0.7889836994819063,0.7206923325701908
music,sum,4,16,3,0.36096849219977134,0.3929880765853274
music,sum,4,16,4,0.3595860614077529,0.40101720325153556
music,sum,4,32,1,0.7930658922192984,0.7109698958062736
music,sum,4,32,2,0.42010975211389134,0.4375771665807184
music,sum,4,32,3,0.4884894113158484,0.48777055386187185
music,sum,4,32,4,0.4985860486563418,0.493083796685024
music,sum,4,64,1,0.7932438174256294,0.717167394859727
music,sum,4,64,2,0.3873416393564589,0.4128342859866967
music,sum,4,64,3,0.3822573333310958,0.4074358781665908
music,sum,4,64,4,0.47996043019293616,0.46987533493490946
music,sum,4,128,1,0.7919427911626055,0.7159594966246997
music,sum,4,128,2,0.4013601171821926,0.4244554800820649
music,sum,4,128,3,0.3853895327479346,0.42185609610066077
music,sum,4,128,4,0.49531744619014734,0.5017996193588251
music,sum,8,4,1,0.785391731958033,0.6586591955187018
music,sum,8,4,2,0.7954829860277284,0.7314827903213147
music,sum,8,4,3,0.5469012028524219,0.5383162067439278
music,sum,8,4,4,0.5075680544315571,0.5125434073139284
music,sum,8,8,1,0.8027404567349027,0.7142913706832025
music,sum,8,8,2,0.7862606565197673,0.7168413351663112
music,sum,8,8,3,0.36889257292535155,0.40162656267081
music,sum,8,8,4,0.5355547993128867,0.5409525184559002
music,sum,8,16,1,0.7939398714266661,0.715926328091399
music,sum,8,16,2,0.38666407793790275,0.4247145482425281
music,sum,8,16,3,0.4687392715880393,0.4792125151549103
music,sum,8,16,4,0.3630336163045982,0.39969144646381266
music,sum,8,32,1,0.7985709633866819,0.7224083147784124
music,sum,8,32,2,0.5418883258181567,0.5221503679145824
music,sum,8,32,3,0.4757531554416894,0.4891639668037734
music,sum,8,32,4,0.3823082077568823,0.41313822054803206
music,sum,8,64,1,0.7920601910852052,0.7176448826510746
music,sum,8,64,2,0.4141517177204608,0.43222148667813554
music,sum,8,64,3,0.48787890860797156,0.4791590676059894
music,sum,8,64,4,0.3943726954652522,0.4314393213914215
music,sum,8,128,1,0.79741312732333,0.719336490278079
music,sum,8,128,2,0.3991233842572402,0.43939977516207257
music,sum,8,128,3,0.5403465248508664,0.5237580255437801
music,sum,8,128,4,0.38732972535915916,0.4162994154412317
music,sum,16,4,1,0.8005006953629811,0.6931316647781706
music,sum,16,4,2,0.8037131770604353,0.716935294536564
music,sum,16,4,3,0.7840600672984016,0.7165655387580708
music,sum,16,4,4,0.3589135499749325,0.3977640802284994
music,sum,16,8,1,0.701821008624331,0.6491101614768785
music,sum,16,8,2,0.705431655461652,0.6547338789180724
music,sum,16,8,3,0.5581598721192272,0.5508521200782038
music,sum,16,8,4,0.49076678809001556,0.4928891679792768
music,sum,16,16,1,0.7948384123744956,0.7085246051108278
music,sum,16,16,2,0.3707390695976196,0.4184260130608034
music,sum,16,16,3,0.4771402628837827,0.481310287561907
music,sum,16,16,4,0.42288657351363135,0.44569042991414587
music,sum,16,32,1,0.7960961970348138,0.722830067680228
music,sum,16,32,2,0.5615725283911398,0.5526685202287832
music,sum,16,32,3,0.44532928217069334,0.4489163146823355
